pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 9,pressure [meter] at 2,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 110,flow [cubic meter/hr] at 111,flow [cubic meter/hr] at 112,flow [cubic meter/hr] at 113,flow [cubic meter/hr] at 121,flow [cubic meter/hr] at 122,flow [cubic meter/hr] at 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 2
233.27762,169.73195,83.78838,86.40446,120.92232,93.00815,93.232704,115.30999,98.531364,0.0,36.576,1855.306,1426.106,-52.67792,315.5928,85.75397,52.691807,-1705.5978,407.44412,-245.72093,-67.24204,67.785645,-39.40646,1855.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.78722,173.40073,88.370544,91.0874,125.7768,97.8229,98.034004,120.43461,103.81754,0.0,41.158966,1836.9545,1418.1838,-55.249466,315.8227,86.23223,52.356136,-1705.1001,402.38712,-249.70346,-68.048096,66.00392,-40.38964,1836.9545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.98191,84.98191,88.142685,89.4556,87.76461,89.35127,90.86476,87.40584,84.26747,0.0,42.43353,-0.00019283418,-38.889614,21.68777,-11.386758,6.362944,3.4971583,119.39698,23.603773,43.784786,8.48918,15.355319,7.87616,0.0,0.0,0.0,0.45504108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.66962,84.66962,87.8231,89.18475,87.48354,89.08011,90.59334,87.17952,84.100746,0.0,42.112705,-0.00019087901,-37.509495,18.820902,-12.326071,6.4449463,1.9555023,111.89961,22.060652,40.01596,8.511936,14.041852,6.963104,0.0,0.0,0.0,0.5025182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.39043,84.39043,87.52395,88.889755,87.24678,88.8218,90.33339,86.98245,83.88837,0.0,41.81203,-0.00018940395,-33.49184,18.559572,-10.190447,6.958944,2.4311717,101.9112,19.80276,36.585117,7.0010405,13.020192,6.5273995,0.0,0.0,0.0,0.53618723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.12088,84.12088,87.250885,88.64359,86.997314,88.573044,90.087326,86.7625,83.66944,0.0,41.538193,-0.00018890716,-32.74188,16.782421,-10.266722,6.098403,2.4017746,96.52684,18.653608,34.40632,6.996476,12.213927,6.230764,0.0,0.0,0.0,0.5887393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.86359,83.86359,86.99138,88.37367,86.72819,88.305016,89.81913,86.466385,83.389565,0.0,41.278824,-0.0001874217,-32.261845,17.48893,-10.384179,6.156318,1.8870108,97.47594,19.337875,35.183346,6.9149055,12.95292,6.350081,0.0,0.0,0.0,0.6215797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.593796,83.593796,86.72906,88.10084,86.45748,88.034584,89.54998,86.16655,83.07925,0.0,41.016907,-0.0001879152,-33.860428,18.177982,-10.413425,5.7116494,2.2309222,100.275185,19.389603,35.909374,6.7377806,13.712187,6.738166,0.0,0.0,0.0,0.6155276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.30092,83.30092,86.45763,87.8064,86.1072,87.70335,89.219696,85.76562,82.67044,0.0,40.747463,-0.00018691762,-38.1252,19.613556,-12.286968,5.3570495,2.462065,113.291916,22.446825,40.92158,8.322452,14.953514,7.4430532,0.0,0.0,0.0,0.59834474,0.0,0.0,0.45500088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.98888,82.98888,86.15131,87.443924,85.75688,87.33669,88.84502,85.37398,82.25556,0.0,40.443047,-0.00018591604,-39.197906,22.790367,-10.697291,7.8945436,3.0565917,124.60555,24.301281,45.495903,8.806066,15.904426,7.8539696,0.0,0.0,0.0,0.52959776,0.0,0.0,0.50242573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
