timestep,node,chlorine_concentration,arsenic_concentration
0,32,0.0,0.0
0,10,0.0,0.0
0,11,0.0,0.0
0,12,0.0,0.0
0,13,0.0,0.0
0,21,0.0,0.0
0,22,0.0,0.0
0,23,0.0,0.0
0,31,0.0,0.0
1,32,0.0,0.0
1,10,0.0,0.0
1,11,0.0,0.0
1,12,0.0,0.0
1,13,0.0,0.0
1,21,0.0,0.0
1,22,0.0,0.0
1,23,0.0,0.0
1,31,0.0,0.0
2,32,0.0,0.0
2,10,0.0,0.0
2,11,0.0,0.0
2,12,0.4595774423495886,0.0
2,13,0.0,0.0
2,21,0.0,0.0
2,22,0.0,0.0
2,23,0.0,0.0
2,31,0.0,0.0
3,32,0.0,0.0
3,10,0.0,0.0
3,11,0.0,0.0
3,12,0.5081649483576127,0.0
3,13,0.0,0.0
3,21,0.0,0.0
3,22,0.0,0.0
3,23,0.0,0.0
3,31,0.0,0.0
4,32,0.0,0.0
4,10,0.0,0.0
4,11,0.0,0.0
4,12,0.5456375692537249,0.0
4,13,0.0,0.0
4,21,0.0,0.0
4,22,0.0,0.0
4,23,0.0,0.0
4,31,0.0,0.0
5,32,0.0,0.0
5,10,0.0,0.0
5,11,0.0,0.0
5,12,0.5982703456523448,0.0
5,13,0.0,0.0
5,21,0.0,0.0
5,22,0.0,0.0
5,23,0.0,0.0
5,31,0.0,0.0
6,32,0.0,0.0
6,10,0.0,0.0
6,11,0.0,0.0
6,12,0.6315068738498449,0.0
6,13,0.0,0.0
6,21,0.0,0.0
6,22,0.0,0.0
6,23,0.0,0.0
6,31,0.0,0.0
7,32,0.0,0.0
7,10,0.0,0.0
7,11,0.0,0.0
7,12,0.6267062868306861,0.0
7,13,0.0,0.0
7,21,0.0,0.0
7,22,0.0,0.0
7,23,0.0,0.0
7,31,0.0,0.0
8,32,0.0,0.0
8,10,0.0,0.0
8,11,0.0,0.0
8,12,0.6077934657051631,0.0
8,13,0.0,0.0
8,21,0.0,0.0
8,22,0.3624565684623769,0.0
8,23,0.0,0.0
8,31,0.0,0.0
9,32,0.0,0.0
9,10,0.0,0.0
9,11,0.0,0.0
9,12,0.5376134570176672,0.0
9,13,0.0,0.0
9,21,0.0,0.0
9,22,0.5079779307902952,0.0
9,23,0.0,0.0
9,31,0.0,0.0
10,32,0.0,0.0
10,10,0.0,0.0
10,11,0.0,0.0
10,12,0.4869112488427252,0.0
10,13,0.0,0.0
10,21,0.0,0.0
10,22,0.5455887135972455,0.0
10,23,0.0,0.0
10,31,0.0,0.0
11,32,0.0,0.0
11,10,0.0,0.0
11,11,0.3403081623141619,0.0
11,12,0.4152115259415097,0.0
11,13,0.5079619869092611,0.0
11,21,0.0,0.0
11,22,0.6268423554392989,0.0
11,23,0.0,0.0
11,31,0.0,0.0
12,32,0.0,0.0
12,10,0.0,0.0
12,11,0.5252693258999059,0.0
12,12,0.3633821030949617,0.0
12,13,0.5455729508261989,0.0
12,21,0.0,0.0
12,22,0.624298562281622,0.0
12,23,0.0,0.0
12,31,0.0,0.0
13,32,0.0,0.0
13,10,0.0,0.0
13,11,0.5981995163033157,0.0
13,12,0.3119705829286907,0.0
13,13,0.6314412843546358,0.0
13,21,0.0,0.0
13,22,0.5371839476109327,0.0
13,23,0.0,0.0
13,31,0.0,0.0
14,32,0.388022587891993,0.0
14,10,0.0,0.0
14,11,0.6217270718864625,0.0
14,12,0.2809629900248959,0.0
14,13,0.6077391295420042,0.0
14,21,0.0,0.0
14,22,0.4151916223443876,0.0
14,23,0.0,0.0
14,31,0.0,0.0
15,32,0.4817760719217682,0.0
15,10,0.0,0.0
15,11,0.4954387999120853,0.0
15,12,0.2447630260726779,0.0
15,13,0.4815094927064682,0.0
15,21,0.0,0.0
15,22,0.3311006342011945,0.0
15,23,0.0,0.0
15,31,0.0,0.0
16,32,0.5159120981401155,0.0
16,10,0.0,0.0
16,11,0.3822926336561933,0.0
16,12,0.2312621722850284,0.0
16,13,0.363359405387554,0.0
16,21,0.3904970917540621,0.0
16,22,0.2809535458141665,0.0
16,23,0.0,0.0
16,31,0.0,0.0
17,32,0.3200178262344252,0.0
17,10,0.0,0.0
17,11,0.3119510794407724,0.0
17,12,0.2135280873603665,0.0
17,13,0.2943329726041772,0.0
17,21,0.4784304917869801,0.0
17,22,0.2447547906881914,0.0
17,23,0.3509445970454345,0.0
17,31,0.0,0.0
18,32,0.2532541008966508,0.0
18,10,0.0,0.0
18,11,0.253469976630335,0.0
18,12,0.2010794276098685,0.0
18,13,0.2447512497034757,0.0
18,21,0.4153041188925127,0.0
18,22,0.2312543885420905,0.0
18,23,0.4168073375707136,0.0
18,31,0.0,0.0
19,32,0.2183660644231755,0.0
19,10,0.0,0.0
19,11,0.2312510428741551,0.0
19,12,0.1993855415248996,0.0
19,13,0.2312510428741551,0.0
19,21,0.3125314599936823,0.0
19,22,0.2127306179191754,0.0
19,23,0.3099465637000126,0.0
19,31,0.3757832050282637,0.0
20,32,0.1862848077745436,0.0
20,10,0.0,0.0
20,11,0.2135178083931078,0.0
20,12,0.1834526169125299,0.0
20,13,0.2135178083931079,0.0
20,21,0.2426692151959895,0.0
20,22,0.2001212491626604,0.0
20,23,0.2141587776339058,0.0
20,31,0.4735995357388238,0.0
21,32,0.0,0.0
21,10,0.0,0.0
21,11,0.0,0.0
21,12,0.0235240963796189,0.0
21,13,0.2265840170385637,0.0
21,21,0.0,0.0
21,22,0.2431249545287712,0.0
21,23,0.0,0.0
21,31,0.3009508267342973,0.0
22,32,0.3169774872030176,0.0
22,10,0.0,0.0
22,11,0.0,0.0
22,12,0.0330260674009481,0.0
22,13,0.251364493658737,0.0
22,21,0.0,0.0
22,22,0.0176253955625593,0.0
22,23,0.4297305563526236,0.0
22,31,0.0358376853203735,0.0
23,32,0.097163619364154,0.0
23,10,0.0,0.0
23,11,0.0,0.0
23,12,0.0609001852212944,0.0
23,13,0.2554457202374358,0.0
23,21,0.0,0.0
23,22,0.0,0.0
23,23,0.2008736552105039,0.0
23,31,0.0,0.0
24,32,0.2541467064792547,0.0
24,10,0.0,0.0
24,11,0.0,0.0
24,12,0.1974353485910198,0.0
24,13,0.2010610192403855,0.0
24,21,0.0,0.0
24,22,0.0177758096302238,0.0
24,23,0.2597320161496009,0.0
24,31,0.0,0.0
25,32,0.1788761369502158,0.0
25,10,0.0,0.0
25,11,0.0,0.0
25,12,0.2116693396739132,0.0
25,13,0.1994796904811942,0.0
25,21,0.0,0.0
25,22,0.0838632549200415,0.0
25,23,0.4831048182039191,0.0
25,31,0.0,0.0
26,32,0.0035352037639419,0.0
26,10,0.0,0.0
26,11,0.0,0.0
26,12,0.2162461109276217,0.0
26,13,0.183435819966423,0.0
26,21,0.0,0.0
26,22,0.1974287443023819,0.0
26,23,0.1491752874531665,0.0
26,31,0.0,0.0
27,32,0.0141166874379268,0.0
27,10,0.0,0.0
27,11,0.1974258880062332,0.0
27,12,0.2288079474194701,0.0
27,13,0.1974258880062332,0.0
27,21,0.0,0.0
27,22,0.2116622578691643,0.0
27,23,0.1509370441605541,0.0
27,31,0.0,0.0
28,32,0.0625718763971237,0.0
28,10,0.0,0.0
28,11,0.2116591956499617,0.0
28,12,0.2390771738252667,0.0
28,13,0.2116591956499617,0.0
28,21,0.0,0.0
28,22,0.2162388756712421,0.0
28,23,0.2838189876049665,0.0
28,31,0.0,0.0
29,32,0.1588461427683223,0.0
29,10,0.0,0.0
29,11,0.2148706158187019,0.0
29,12,0.2507641694682172,0.0
29,13,0.216235747239919,0.0
29,21,0.0,0.0
29,22,0.228800291216024,0.0
29,23,0.2142152313807062,0.0
29,31,0.0,0.0
30,32,0.1664175507706933,0.0
30,10,0.0,0.0
30,11,0.2168624888153373,0.0
30,12,0.2643721063878686,0.0
30,13,0.2251858433842798,0.0
30,21,0.0357144663684179,0.0
30,22,0.2390691737574365,0.0
30,23,0.1910928981396061,0.0
30,31,0.0,0.0
31,32,0.1843207573725933,0.0
31,10,0.0,0.0
31,11,0.2287936709372442,0.0
31,12,0.2810503470576531,0.0
31,13,0.2299266545566911,0.0
31,21,0.1444619415049744,0.0
31,22,0.2507557783537051,0.0
31,23,0.1356035779741603,0.0
31,31,0.0,0.0
32,32,0.1764133587428807,0.0
32,10,0.0,0.0
32,11,0.2390622563511277,0.0
32,12,0.2855930859080978,0.0
32,13,0.2390622563511277,0.0
32,21,0.1583913229431987,0.0
32,22,0.2630201899247257,0.0
32,23,0.1531119558158548,0.0
32,31,0.0,0.0
33,32,0.1839585607469716,0.0
33,10,0.0,0.0
33,11,0.2507485227984368,0.0
33,12,0.2845253079461068,0.0
33,13,0.2507485227984368,0.0
33,21,0.1575646253015467,0.0
33,22,0.2771640226172361,0.0
33,23,0.1424067035222451,0.0
33,31,0.0,0.0
34,32,0.1973840376583508,0.0
34,10,0.0,0.0
34,11,0.2643556110713894,0.0
34,12,0.2851998985793044,0.0
34,13,0.2643556110713894,0.0
34,21,0.1599992847666675,0.0
34,22,0.2839259782029093,0.0
34,23,0.1485881059766899,0.0
34,31,0.0,0.0
35,32,0.2141366421214786,0.0
35,10,0.0,0.0
35,11,0.2810328122301645,0.0
35,12,0.2708987036220771,0.0
35,13,0.2810328122301644,0.0
35,21,0.1674889783404988,0.0
35,22,0.2850800259830542,0.0
35,23,0.1469276448237057,0.0
35,31,0.1444535816861606,0.0
36,32,0.2128972503460092,0.0
36,10,0.0,0.0
36,11,0.285071849340814,0.0
36,12,0.2659346497391027,0.0
36,13,0.2850810260803162,0.0
36,21,0.2277642625748676,0.0
36,22,0.2850759015938567,0.0
36,23,0.1496360919498954,0.0
36,31,0.1525446362098854,0.0
37,32,0.0,0.0
37,10,0.0,0.0
37,11,0.0,0.0
37,12,0.0456704119543792,0.0
37,13,0.2812744727616943,0.0
37,21,0.0097535664951597,0.0
37,22,0.2224218601396011,0.0
37,23,0.0177731329043218,0.0
37,31,0.1592433679323042,0.0
38,32,0.1589232737994193,0.0
38,10,0.0,0.0
38,11,0.0,0.0
38,12,0.0412038436145286,0.0
38,13,0.2498354217824488,0.0
38,21,0.0,0.0
38,22,0.0294988569306486,0.0
38,23,0.200448384054901,0.0
38,31,0.263045816602311,0.0
39,32,0.2593834554114041,0.0
39,10,0.0,0.0
39,11,0.0,0.0
39,12,0.0093493920792415,0.0
39,13,0.0177726186431992,0.0
39,21,0.0,0.0
39,22,6.1003223873558e-06,0.0
39,23,0.2827102549333474,0.0
39,31,0.0,0.0
40,32,0.2125985501662783,0.0
40,10,0.0,0.0
40,11,0.0,0.0
40,12,0.2479295570185042,0.0
40,13,0.2628228969832099,0.0
40,21,1.515603140696181e-07,0.0
40,22,6.098017317600227e-06,0.0
40,23,0.2613452719535572,0.0
40,31,2.2150141190326892e-08,0.0
41,32,0.1787178374597062,0.0
41,10,0.0,0.0
41,11,0.0,0.0
41,12,0.2518985569689589,0.0
41,13,0.2850279148278342,0.0
41,21,2.2778245407843499e-07,0.0
41,22,0.0294975766269205,0.0
41,23,0.2381522595139573,0.0
41,31,6.857230862768207e-08,0.0
42,32,0.0840467862728229,0.0
42,10,0.0,0.0
42,11,0.0,0.0
42,12,0.2443721403696266,0.0
42,13,0.2850237911925538,0.0
42,21,2.213572615556174e-07,0.0
42,22,0.2479213142044878,0.0
42,23,0.1169193384839812,0.0
42,31,1.0388678465075129e-07,0.0
43,32,7.026706790468189e-06,0.0
43,10,0.0,0.0
43,11,0.1081227603977932,0.0
43,12,0.2497733860349328,0.0
43,13,0.2479177274081607,0.0
43,21,2.055246374306439e-07,0.0
43,22,0.2518901812891959,0.0
43,23,0.0952398376227166,0.0
43,31,1.2775876529415786e-07,0.0
44,32,0.0187391764903555,0.0
44,10,0.0,0.0
44,11,0.2489062591464355,0.0
44,12,0.262511132945353,0.0
44,13,0.2518865370733688,0.0
44,21,2.1208578677175962e-07,0.0
44,22,0.2443640166692344,0.0
44,23,0.1252281003351613,0.0
44,31,1.4770089134642793e-07,0.0
45,32,0.1957395855743496,0.0
45,10,0.0,0.0
45,11,0.251882892910264,0.0
45,12,0.2700528564009459,0.0
45,13,0.2455741585678567,0.0
45,21,2.1310881500879397e-07,0.0
45,22,0.2497650814890648,0.0
45,23,0.2691544783954712,0.0
45,31,1.6207849777914752e-07,0.0
46,32,0.1984298889197296,0.0
46,10,0.0,0.0
46,11,0.24435694605798,0.0
46,12,0.2939867315020791,0.0
46,13,0.2462215104096838,0.0
46,21,2.3665454335009161e-07,0.0
46,22,0.2625024021770586,0.0
46,23,0.2765425105845454,0.0
46,31,1.774600673940457e-07,0.0
47,32,0.1921657169908255,0.0
47,10,0.0,0.0
47,11,0.2497578545993606,0.0
47,12,0.3194324601408018,0.0
47,13,0.2497578545993606,0.0
47,21,0.0795106189780194,0.0
47,22,0.2676366452715237,0.0
47,23,0.2818255779329059,0.0
47,31,1.8386678407850214e-07,0.0
48,32,0.1916230548925174,0.0
48,10,0.0,0.0
48,11,0.2624041938949503,0.0
48,12,0.3610091429843433,0.0
48,13,0.2624948067361895,0.0
48,21,0.1809064216974759,0.0
48,22,0.2700399665999539,0.0
48,23,0.2155751537743694,0.0
48,31,1.8386412398972386e-07,0.0
49,32,0.1975411391858832,0.0
49,10,0.0,0.0
49,11,0.2624910090981699,0.0
49,12,0.3975740308388845,0.0
49,13,0.2681140302472811,0.0
49,21,0.1798993010603319,0.0
49,22,0.2939726960662129,0.0
49,23,0.1922333285205659,0.0
49,31,1.838614639394303e-07,0.0
50,32,0.202689426373864,0.0
50,10,0.0,0.0
50,11,0.2700321530615575,0.0
50,12,0.4411176413091033,0.0
50,13,0.2700321530615573,0.0
50,21,0.1766946677814071,0.0
50,22,0.3194172082806127,0.0
50,23,0.1534625052227113,0.0
50,31,1.8385880392762104e-07,0.0
51,32,0.2086949406507025,0.0
51,10,0.0,0.0
51,11,0.2809222874725269,0.0
51,12,0.5064448704485848,0.0
51,13,0.293964190040319,0.0
51,21,0.1626710286319273,0.0
51,22,0.3194125871189623,0.0
51,23,0.1686265635501679,0.0
