bulk_species_node [MG] at P @ dist64,bulk_species_node [MG] at P @ dist648,bulk_species_node [MG] at Chlorine @ dist64,bulk_species_node [MG] at Chlorine @ dist648,bulk_species_node [MG] at P @ dist356,bulk_species_node [MG] at Chlorine @ dist356,bulk_species_node [MG] at P @ dist399,bulk_species_node [MG] at Chlorine @ dist399,bulk_species_node [MG] at P @ dist420,bulk_species_node [MG] at Chlorine @ dist420,bulk_species_node [MG] at P @ dist485,bulk_species_node [MG] at Chlorine @ dist485,bulk_species_node [MG] at P @ dist606,bulk_species_node [MG] at Chlorine @ dist606,bulk_species_node [MG] at P @ dist1028,bulk_species_node [MG] at Chlorine @ dist1028,bulk_species_node [MG] at P @ dist1332,bulk_species_node [MG] at Chlorine @ dist1332,bulk_species_node [MG] at P @ dist1363,bulk_species_node [MG] at Chlorine @ dist1363,bulk_species_node [MG] at P @ dist1459,bulk_species_node [MG] at Chlorine @ dist1459,bulk_species_node [MG] at P @ dist1464,bulk_species_node [MG] at Chlorine @ dist1464,bulk_species_node [MG] at P @ dist1915,bulk_species_node [MG] at Chlorine @ dist1915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8589675e-05,0.0,0.0,0.0,1.0694039e-05,0.0,2.6291057e-06,0.0,1.3016084e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9955975e-05,0.0,0.0,0.0,3.3321863e-05,0.0,1.0893483e-05,0.0,5.6478457e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8994043e-05,0.0,3.373678e-08,0.0,3.2662858e-05,0.0,1.1111893e-05,0.0,6.0115613e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0238176e-08,0.0,5.9155278e-05,0.0,7.029292e-08,0.0,3.0534717e-05,0.0,9.55886e-06,0.0,4.822058e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0158525e-07,0.0,6.06666e-05,0.0,1.13139556e-07,0.0,2.9818788e-05,0.0,9.222158e-06,0.0,4.502898e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.9718234e-06,0.0,6.3279165e-10,0.0,0.0,0.0,8.6069846e-08,0.0,9.410188e-07,0.0,6.0318856e-05,0.0,1.914773e-07,0.0,3.1282234e-05,0.0,1.01303e-05,0.0,5.26664e-06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.9942175e-06,0.0,1.6427962e-09,0.0,0.0,0.0,2.8687606e-07,0.0,1.2399952e-06,0.0,5.9033835e-05,0.0,2.1090243e-07,0.0,3.1534808e-05,0.0,1.0629032e-05,0.0,5.5178602e-06,0.0,1.1607348e-11
0.0,0.0,0.0,0.0,0.0,6.5244535e-06,0.0,2.7191536e-09,0.0,0.0,0.0,3.323629e-07,0.0,1.1829255e-06,0.0,6.04818e-05,0.0,1.6824615e-07,0.0,2.988807e-05,0.0,9.250238e-06,0.0,4.669177e-06,0.0,7.763518e-11
0.0,0.0,0.0,0.0,0.0,6.057639e-06,0.0,2.3937217e-09,0.0,0.0,0.0,3.6831173e-07,0.0,1.0548267e-06,0.0,6.0053175e-05,0.0,1.3564915e-07,0.0,2.9360033e-05,0.0,8.5906595e-06,0.0,4.1530748e-06,0.0,1.0930903e-10
0.0,0.0,0.0,0.0,0.0,6.47383e-06,0.0,1.5780611e-09,0.0,0.0,0.0,4.2000892e-07,0.0,1.0920226e-06,0.0,6.0938408e-05,0.0,1.458314e-07,0.0,3.0026407e-05,0.0,8.685741e-06,0.0,4.2158654e-06,0.0,2.0244292e-10
0.0,0.0,0.0,0.0,0.0,6.633605e-06,0.0,1.9097643e-09,0.0,0.0,0.0,4.41059e-07,0.0,1.1449995e-06,0.0,6.219739e-05,0.0,1.5410359e-07,0.0,2.8762244e-05,0.0,8.427154e-06,0.0,4.0741243e-06,0.0,2.0328539e-10
