bulk_species_node [MG] at P @ dist64,bulk_species_node [MG] at P @ dist648,bulk_species_node [MG] at Chlorine @ dist64,bulk_species_node [MG] at Chlorine @ dist648,bulk_species_node [MG] at P @ dist420,bulk_species_node [MG] at Chlorine @ dist420
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,9.300197e-18,0.0,1.9372766e-05
0.0,0.0,0.0,3.2440175e-19,0.0,2.2994262e-05
0.0,0.0,0.0,2.9726488e-19,0.0,1.8798744e-05
0.0,0.0,0.0,5.766105e-20,0.0,1.9038567e-05
0.0,0.0,0.0,0.0,0.0,1.857367e-05
0.0,0.0,0.0,0.0,0.0,2.1986918e-05
0.0,0.0,0.0,0.0,0.0,2.6432726e-05
0.0,0.0,0.0,0.0,0.0,1.913143e-05
0.0,0.0,0.0,0.0,0.0,2.9370984e-05
0.0,0.0,0.0,0.0,0.0,2.5463965e-05
0.0,0.0,0.0,3.0412388e-15,0.0,2.4600202e-05
0.0,0.0,0.0,0.0,0.0,1.615219e-05
0.0,0.0,0.0,0.0,0.0,2.2520895e-05
0.0,0.0,0.0,6.550874599999999e-18,0.0,2.2808188e-05
0.0,0.0,0.0,6.7697785e-18,0.0,1.5718824e-05
0.0,0.0,0.0,5.8695686e-18,0.0,2.0014602e-05
0.0,0.0,0.0,4.588068999999999e-19,0.0,2.2273662e-05
0.0,0.0,0.0,1.3326993999999998e-19,0.0,2.3219049e-05
0.0,0.0,0.0,0.0,0.0,1.3988052e-05
0.0,0.0,0.0,0.0,0.0,1.3153655e-05
0.0,0.0,0.0,0.0,0.0,1.40771945e-05
0.0,0.0,0.0,0.0,0.0,1.5313093e-05
0.0,0.0,0.0,5.317378e-15,0.0,1.4612884e-05
0.0,0.0,0.0,9.966727e-15,0.0,1.6787204e-05
0.0,0.0,0.0,2.5004247e-15,0.0,1.982641e-05
0.0,0.0,0.0,9.451087e-16,0.0,2.67686e-05
0.0,0.0,0.0,1.1859589e-08,0.0,2.918456e-05
0.0,0.0,0.0,1.6754695e-08,0.0,2.4534838e-05
0.0,0.0,0.0,2.6947687e-08,0.0,2.1895588e-05
0.0,0.0,0.0,2.783632e-08,0.0,2.1505417e-05
0.0,0.0,0.0,5.7958566e-08,0.0,2.396472e-05
0.0,0.0,0.0,5.5712334e-08,0.0,1.916344e-05
0.0,0.0,0.0,7.837268e-08,0.0,1.8346176e-05
0.0,0.0,0.0,9.207266e-08,0.0,2.6008422e-05
0.0,0.0,0.0,8.0345174e-08,0.0,2.5122912e-05
0.0,0.0,0.0,8.588091e-08,0.0,2.106445e-05
0.0,0.0,0.0,1.5285524e-07,0.0,2.8616389e-05
0.0,0.0,0.0,1.3166238e-07,0.0,3.2045067e-05
0.0,0.0,2.3215316e-13,1.5503862e-07,0.0,4.650798e-05
0.0,0.0,1.243877e-13,1.04346206e-07,0.0,5.5002387e-05
0.0,0.0,4.8980832e-14,8.779657e-08,0.0,4.016613e-05
0.0,0.0,4.8980832e-14,4.4457078e-08,0.0,3.6083493e-05
0.0,0.0,3.6881038e-14,7.501849e-08,0.0,3.9066115e-05
0.0,0.0,3.6881038e-14,1.7912838e-07,0.0,4.2477935e-05
0.0,0.0,2.7767678e-14,3.767529e-07,0.0,3.6714155e-05
0.0,0.0,2.3664029e-14,3.442021e-07,0.0,4.1789142e-05
0.0,0.0,8.022808e-15,3.4133026e-07,0.0,6.310801e-05
0.0,0.0,6.009561e-15,2.620706e-07,0.0,7.355839e-05
0.0,0.0,2.3430846e-15,2.5247658e-07,0.0,9.196467e-05
0.0,0.0,2.2221935e-15,2.530282e-07,0.0,0.00010591538
0.0,0.0,2.2221933e-15,2.7626086e-07,0.0,9.766637e-05
0.0,0.0,2.222193e-15,2.408096e-07,0.0,9.006107e-05
0.0,0.0,2.2221928e-15,1.9026784e-07,0.0,9.0052104e-05
0.0,0.0,2.2221926e-15,2.1686368e-07,0.0,0.00012284907
0.0,0.0,2.2221924e-15,2.619945e-07,0.0,0.0001361865
0.0,0.0,1.265084e-15,2.0623541e-07,0.0,0.00012247093
0.0,0.0,9.585202e-16,2.5903663e-07,0.0,0.00013100934
0.0,0.0,6.941667e-16,2.57567e-07,0.0,0.00014695669
0.0,0.0,1.2707505e-16,3.3168143e-07,0.0,0.0002425227
0.0,0.0,2.3344501000000002e-17,5.5672325e-07,0.0,0.0003851328
0.0,0.0,4.4009714e-18,8.597483e-07,0.0,0.0010816044
0.0,0.0,8.434157999999999e-19,9.5153575e-07,0.0,0.018034905
0.0,0.0,2.0039328e-19,1.3747549e-06,0.0,0.032290757
0.0,0.0,1.6664709e-20,2.9941236e-07,0.0,0.003805024
0.0,0.0,2.5346573e-20,1.1648294e-07,0.0,0.057159398
0.0,0.0,1.2050168e-20,5.5847286e-06,0.0,0.01211917
0.0,0.0,5.586657e-20,1.5703385e-08,0.0,0.07184864
0.0,0.0,3.5290526e-19,4.7184704e-07,0.0,0.0198799
0.0,0.0,5.9158034e-19,3.806549e-07,0.0,0.01102494
0.0,0.0,2.1611374e-19,3.609801e-07,0.0,0.08946164
0.0,0.0,4.2547569999999996e-20,3.1540498e-10,0.0,0.13085318
0.0,0.0,1.5844694e-19,1.4128207e-10,0.0,0.07266776
0.0,0.0,3.5705962e-20,5.6928805e-11,0.0,0.13320675
0.0,0.0,3.5699348e-20,1.2099517e-10,0.0,0.13740681
0.0,0.0,9.090432e-20,6.884404e-11,0.0,0.0050590835
0.0,0.0,4.8994135e-19,9.125563e-12,0.0,0.2629215
0.0,0.0,1.5747975e-18,1.0967641e-11,0.0,0.15480475
0.0,0.0,1.5298934e-18,3.573503e-12,0.0,0.021227097
0.0,0.0,4.445275e-19,1.1131087e-12,0.0,0.0125079
0.0,0.0,1.3905404e-19,2.2967349e-13,0.0,0.023704479
0.0,0.0,1.8030299e-19,2.7943241e-14,0.0,0.02495349
0.0,0.0,6.897649e-20,3.7947262e-15,0.0,0.0035888518
0.0,0.0,7.7324055e-20,2.002115e-15,0.0,0.01653303
0.0,0.0,7.046443999999999e-19,3.7856003e-15,0.0,0.16289935
0.0,0.0,1.2284765999999998e-18,4.2654644e-15,0.0,0.14115189
0.0,0.0,1.2280964999999998e-18,3.3613056e-15,0.0,0.04976345
0.0,0.0,1.260849e-18,2.152279e-15,0.0,0.051629577
0.0,0.0,2.8078623e-17,2.2614183e-15,0.0,0.029874831
0.0,0.0,2.9935127e-14,1.4037707e-15,0.0,0.04406767
0.0,0.0,9.8039056e-14,4.97366e-16,0.0,0.013452295
0.0,0.0,2.3946743e-14,3.2000577e-16,0.0,0.08510115
0.0,0.0,4.1156802e-14,7.536384e-16,0.0,0.045994535
0.0,0.0,5.0954083e-14,1.3440722e-15,0.0,0.020862296
0.0,0.0,5.0932352e-14,4.2136844e-15,0.0,0.015886521
0.0,0.0,1.0645793e-14,1.9329792e-15,0.0,0.015983906
0.0,0.0,5.7837625e-14,8.2760675e-15,0.0,0.057615433
0.0,0.0,6.9750216e-14,2.4652348e-14,0.0,0.14622854
0.0,0.0,5.9604055e-14,3.1704953e-13,0.0,0.0631963
0.0,0.0,3.1337068e-14,1.9225524e-13,0.0,0.0074354205
0.0,0.0,3.1322906e-14,1.7682443e-13,0.0,0.060180884
0.0,0.0,1.1332939e-14,7.7075045e-14,0.0,0.009877208
0.0,0.0,1.1327818e-14,1.3650214e-14,0.0,0.014790365
0.0,0.0,2.3603056e-15,4.178883e-15,0.0,0.025051473
0.0,0.0,1.0833889e-15,6.833295e-15,0.0,0.0044290423
0.0,0.0,2.0916621e-16,2.838416e-15,0.0,0.07275699
0.0,0.0,1.7873885e-16,8.63736e-16,0.0,0.060993884
0.0,0.0,1.1084781999999999e-16,1.1236553e-15,0.0,0.056846187
0.0,0.0,1.10797025e-16,2.5200111e-15,0.0,0.010248148
0.0,0.0,4.4702587e-17,1.114357e-15,0.0,0.08171872
0.0,0.0,3.0470313e-17,3.332406e-16,0.0,0.035389017
0.0,0.0,2.0769266e-17,2.983981e-15,0.0,0.041222982
0.0,0.0,2.0759749e-17,5.380463e-15,0.0,0.021835472
0.0,0.0,1.0914450000000001e-17,3.686171e-15,0.0,0.030578777
0.0,0.0,8.265797e-18,1.5540063e-15,0.0,0.0031232452
0.0,0.0,8.262008e-18,1.1327251e-15,0.0,0.009260612
0.0,0.0,7.060136000000001e-18,1.4909182e-15,0.0,0.050547443
0.0,0.0,1.609152e-17,7.115346e-16,0.0,0.024665479
0.0,0.0,2.9072034e-17,2.3551148000000003e-16,0.0,0.004359124
0.0,0.0,7.098229599999999e-18,8.36659e-17,0.0,0.013357292
0.0,0.0,6.065599e-18,2.9583536e-17,0.0,0.051431485
0.0,0.0,6.0627657e-18,9.823459e-18,0.0,0.010115103
0.0,0.0,3.9959123e-17,1.6860884e-15,0.0,0.056648012
0.0,0.0,3.1018380000000005e-17,9.376486e-16,0.0,0.024846226
0.0,0.0,3.1003537e-17,2.3846613e-14,0.0,0.0044469843
0.0,0.0,2.6492926e-17,7.635563e-15,0.0,0.010093968
0.0,0.0,2.6480250000000002e-17,1.2263452e-15,0.0,0.03990797
0.0,0.0,2.6467580000000006e-17,1.4100031000000002e-16,0.0,0.0066787293
0.0,0.0,2.261689e-17,6.6567115e-17,0.0,0.010616608
0.0,0.0,1.1890603e-17,2.1132891e-17,0.0,0.026307264
0.0,0.0,4.797331e-18,9.879579e-18,0.0,0.0037583888
0.0,0.0,1.9355104e-18,1.3487644e-17,0.0,0.015405651
0.0,0.0,1.6539189e-18,8.2265726e-18,0.0,0.007472394
0.0,0.0,1.6531275e-18,3.0109356e-18,0.0,0.020450303
0.0,0.0,1.1267868999999998e-18,4.05376e-18,0.0,0.006153395
0.0,0.0,1.1262477999999998e-18,1.0850958e-18,0.0,0.016535021
0.0,0.0,5.140375999999999e-19,3.2571798e-19,0.0,0.018649532
0.0,0.0,5.1379166e-19,9.9162774e-20,0.0,0.011064405
0.0,0.0,1.9794437e-19,4.0405753e-20,0.0,0.012318615
0.0,0.0,1.4990537999999998e-19,2.3029848e-19,0.0,0.03857654
0.0,0.0,1.2809609e-19,1.1201872e-19,0.0,0.004635616
0.0,0.0,1.280348e-19,3.4435112e-20,0.0,0.021891525
0.0,0.0,1.0940739e-19,1.4892736e-18,0.0,0.0032864914
0.0,0.0,9.3490047e-20,8.6456204e-19,0.0,0.006282061
0.0,0.0,9.344531e-20,2.8363028e-19,0.0,0.0031293763
0.0,0.0,6.124173299999999e-19,6.97669e-20,0.0,0.0020211677
0.0,0.0,1.2872379e-18,1.8131625e-20,0.0,0.005298946
0.0,0.0,8.789152999999999e-19,5.827398e-21,0.0,0.047158998
0.0,0.0,8.784813e-19,1.8214509e-20,0.0,0.0073218835
0.0,0.0,8.780475e-19,8.58287e-21,0.0,0.04379869
0.0,0.0,5.445161e-19,7.7945727e-20,0.0,0.007659765
0.0,0.0,1.0041271e-19,2.8602235e-20,0.0,0.012676114
0.0,0.0,6.373928999999999e-19,7.428296e-21,0.0,0.012473281
0.0,0.0,4.1625789e-19,1.985798e-21,0.0,0.022989497
0.0,0.0,5.5558067e-19,7.291759e-22,0.0,0.0065153935
0.0,0.0,6.4906097e-19,1.2333873e-20,0.0,0.021523071
0.0,0.0,4.5744887e-19,4.063447e-20,0.0,0.00566123
0.0,0.0,4.5717497e-19,1.32183236e-20,0.0,0.0336488
0.0,0.0,4.5690117e-19,3.8603605e-20,0.0,0.0047646654
0.0,0.0,7.3367317e-19,1.3814836e-19,0.0,0.0074735465
0.0,0.0,1.1603186e-18,5.2022823e-20,0.0,0.02710224
0.0,0.0,6.09947e-19,3.7474198e-19,0.0,0.008545707
0.0,0.0,2.0991773e-19,4.407665999999999e-19,0.0,0.016756287
0.0,0.0,2.7628928e-19,1.7331806999999998e-19,0.0,0.016498893
0.0,0.0,2.0487872e-19,6.143325999999999e-20,0.0,0.029988652
0.0,0.0,5.198903999999999e-19,4.897042e-20,0.0,0.007189911
0.0,0.0,1.5650828e-19,1.8645715e-19,0.0,0.04804564
0.0,0.0,1.5640433e-19,6.960693999999999e-20,0.0,0.010345642
0.0,0.0,1.3362471e-19,1.6731201e-19,0.0,0.051136173
0.0,0.0,1.3353597e-19,2.3659056e-19,0.0,0.011146061
0.0,0.0,1.2008172e-19,7.329339999999999e-20,0.0,0.040800747
0.0,0.0,1.3089663e-19,6.938234999999999e-19,0.0,0.030779084
0.0,0.0,2.618481e-19,6.3163677e-19,0.0,0.012394553
0.0,0.0,2.5339313e-19,1.9291168e-19,0.0,0.008151121
0.0,0.0,1.2535604999999998e-18,5.9196243e-20,0.0,0.017825134
0.0,0.0,6.3810946e-19,4.7667736e-19,0.0,0.015493701
0.0,0.0,6.376231e-19,5.019345399999999e-19,0.0,0.030315371
0.0,0.0,4.344864e-19,1.3722643999999998e-18,0.0,0.055003382
0.0,0.0,1.8601794e-19,5.849616999999999e-19,0.0,0.011327929
0.0,0.0,1.8587614e-19,4.1204145e-18,0.0,0.043722022
0.0,0.0,1.5878849999999998e-19,2.0074234e-16,0.0,0.0044800662
0.0,0.0,1.2021807e-19,7.1323423e-17,0.0,0.014974442
0.0,0.0,8.191849e-20,2.3997990000000006e-17,0.0,0.058569007
0.0,0.0,6.9980546e-20,1.06685434e-16,0.0,0.018643288
0.0,0.0,5.978231e-20,3.8315304e-17,0.0,0.020962264
0.0,0.0,2.920194e-20,1.1230828e-17,0.0,0.021082656
0.0,0.0,2.1202977e-20,4.7264126e-16,0.0,0.012638467
0.0,0.0,8.74549e-21,3.796689e-15,0.0,0.026111864
0.0,0.0,1.7048887e-20,1.5474653e-15,0.0,0.028707473
0.0,0.0,1.4416126e-20,3.4200353e-15,0.0,0.025484787
0.0,0.0,1.4405029999999998e-20,1.0378632e-15,0.0,0.0035424817
0.0,0.0,1.09059054e-20,1.0579247e-15,0.0,0.0338369
0.0,0.0,1.0897512e-20,4.6013006e-16,0.0,0.011233537
0.0,0.0,4.523826e-21,5.127371e-16,0.0,0.042331014
0.0,0.0,1.1381829000000001e-21,1.645428e-16,0.0,0.007890775
0.0,0.0,9.723087e-22,1.331811e-16,0.0,0.036335543
0.0,0.0,9.715604e-22,4.18333e-17,0.0,0.0334825
0.0,0.0,6.6203166e-22,1.1871733e-17,0.0,0.006265191
0.0,0.0,6.615221e-22,1.9657527e-18,0.0,0.0036749414
0.0,0.0,6.61013e-22,4.279602e-19,0.0,0.009525657
0.0,0.0,6.605042e-22,1.2152719999999998e-19,0.0,0.043612134
0.0,0.0,6.599958700000001e-22,3.5061236e-20,0.0,0.0047757938
0.0,0.0,5.638108000000002e-22,5.7112976e-20,0.0,0.009941689
0.0,0.0,4.816433e-22,2.7613118e-20,0.0,0.04986695
0.0,0.0,2.1976584e-22,2.3055556e-20,0.0,0.03739881
0.0,0.0,2.746591e-22,4.103023e-20,0.0,0.004230635
0.0,0.0,3.0569880000000003e-22,1.5501064e-20,0.0,0.014400682
0.0,0.0,7.8489445e-23,2.000664e-19,0.0,0.038378894
0.0,0.0,6.7050255e-23,4.523458699999999e-18,0.0,0.014766047
0.0,0.0,3.6853114e-23,2.5270318e-18,0.0,0.040613998
