bulk_species_node [MG] at P @ dist64,bulk_species_node [MG] at P @ dist648,bulk_species_node [MG] at Chlorine @ dist64,bulk_species_node [MG] at Chlorine @ dist648,bulk_species_node [MG] at P @ dist420,bulk_species_node [MG] at Chlorine @ dist420
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.496808e-12,0.0,0.0,0.0
0.0,0.0,2.168195e-11,0.0,0.0,0.0
0.0,0.0,2.168195e-11,0.0,0.0,3.7849502e-06
0.0,0.0,2.0794554e-11,0.0,0.0,1.4858387e-05
0.0,0.0,2.2310643e-11,0.0,0.0,1.4245925e-05
0.0,0.0,2.2310643e-11,2.1317497e-17,0.0,3.1348234e-05
0.0,0.0,2.2310643e-11,0.0,0.0,2.5388805e-05
0.0,0.0,2.2310643e-11,0.0,0.0,2.3838209e-05
0.0,0.0,2.3169182e-11,0.0,0.0,1.7924423e-05
0.0,0.0,2.3169182e-11,0.0,0.0,6.852215e-06
0.0,0.0,2.3169182e-11,0.0,0.0,1.1640494e-05
0.0,0.0,2.3169182e-11,0.0,0.0,1.3742739e-05
0.0,0.0,2.1248e-11,1.0055589e-17,0.0,6.6646453e-06
0.0,0.0,1.957205e-11,1.5300819e-16,0.0,5.6279114e-06
0.0,0.0,1.957205e-11,0.0,0.0,1.3500225e-05
0.0,0.0,1.7927331e-11,4.685816e-18,0.0,1.6706324e-05
0.0,0.0,1.7927331e-11,0.0,0.0,1.3259867e-05
0.0,0.0,1.7927331e-11,2.0467203e-18,0.0,1.5844122e-05
0.0,0.0,1.7927331e-11,6.020943999999999e-19,0.0,1.9418858e-05
0.0,0.0,1.7927331e-11,4.1094467e-19,0.0,2.257666e-05
0.0,0.0,1.7927331e-11,9.471841e-20,0.0,2.8082417e-05
0.0,0.0,1.7927331e-11,0.0,0.0,3.6861213e-05
0.0,0.0,1.7927331e-11,0.0,0.0,2.3368153e-05
0.0,0.0,1.7927331e-11,0.0,0.0,1.9070403e-05
0.0,0.0,1.7927331e-11,0.0,0.0,1.4660229e-05
0.0,0.0,1.7927331e-11,0.0,0.0,1.8975757e-05
0.0,0.0,1.7927331e-11,0.0,0.0,2.3162895e-05
0.0,0.0,1.7927331e-11,4.6656712e-17,0.0,3.3346245e-05
0.0,0.0,1.7927331e-11,0.0,0.0,3.183848e-05
0.0,0.0,1.587161e-11,3.430763e-16,0.0,2.30863e-05
0.0,0.0,6.9112697e-12,2.3217758e-16,0.0,2.0563344e-05
0.0,0.0,5.545753e-12,1.4971624e-08,0.0,2.207728e-05
0.0,0.0,5.545753e-12,1.7746055e-08,0.0,2.3252107e-05
0.0,0.0,2.8795568e-12,1.394218e-08,0.0,2.2032662e-05
0.0,0.0,2.1099776e-12,1.0713652e-08,0.0,3.1012765e-05
0.0,0.0,1.0308794e-12,8.3288214e-08,0.0,3.2423948e-05
0.0,0.0,6.977917e-13,8.1548905e-08,0.0,2.7720735e-05
0.0,0.0,6.156183e-13,5.0282093e-08,0.0,2.3770868e-05
0.0,0.0,5.4309904e-13,6.2348676e-08,0.0,3.49334e-05
0.0,0.0,4.791138e-13,3.608628e-08,0.0,4.2489e-05
0.0,0.0,2.6287864e-13,4.0025444e-08,0.0,4.2721145e-05
0.0,0.0,2.6287864e-13,6.6921594e-08,0.0,4.442287e-05
0.0,0.0,2.6287864e-13,7.9025696e-08,0.0,3.29626e-05
0.0,0.0,2.6287864e-13,6.682962e-08,0.0,4.6519548e-05
0.0,0.0,1.260708e-13,8.789344e-08,0.0,6.1690145e-05
0.0,0.0,3.3950554e-14,4.6370403e-08,0.0,5.0509378e-05
0.0,0.0,1.4959896e-14,3.1400646e-08,0.0,4.1910072e-05
0.0,0.0,8.757182e-15,6.2259616e-08,0.0,6.0683076e-05
0.0,0.0,3.9439218e-15,1.9003134e-07,0.0,5.7103025e-05
0.0,0.0,3.4792238e-15,2.9069332e-07,0.0,6.8221234e-05
0.0,0.0,6.689469e-16,3.9592766e-07,0.0,7.168964e-05
0.0,0.0,1.020225e-16,5.163173e-07,0.0,8.5248226e-05
0.0,0.0,2.4734786e-17,6.994459e-07,0.0,0.00011795077
0.0,0.0,1.9765175000000002e-17,6.23141e-07,0.0,0.00012400287
0.0,0.0,1.4248892e-17,4.785057e-07,0.0,0.00011514404
0.0,0.0,5.6557585e-18,5.076015e-07,0.0,0.0001137971
0.0,0.0,2.4898893e-18,4.2898301e-07,0.0,8.869065e-05
0.0,0.0,8.205232999999999e-19,4.5502622e-07,0.0,9.076501e-05
0.0,0.0,3.0423724e-19,7.4853494e-07,0.0,0.00010890406
0.0,0.0,8.042543e-20,5.6963677e-07,0.0,0.00011244293
0.0,0.0,4.1085534e-20,6.292887e-07,0.0,0.000111187495
0.0,0.0,1.2879006e-20,1.1136268e-06,0.0,0.00015306984
0.0,0.0,7.011048e-21,9.967453e-07,0.0,0.00017790071
0.0,0.0,3.6877105e-21,5.08765e-07,0.0,0.00013405782
0.0,0.0,7.1998116e-22,2.8052807e-07,0.0,0.00013540208
0.0,0.0,5.7807005e-22,6.774146e-08,0.0,0.00010132853
0.0,0.0,1.8508510000000001e-22,2.2353529e-08,0.0,0.00011119213
0.0,0.0,1.3036752e-22,6.7177695e-09,0.0,4.714431e-05
0.0,0.0,4.0961200000000004e-23,2.6339055e-09,0.0,1.8443352e-05
0.0,0.0,2.5380934e-23,8.044171e-10,0.0,7.006885e-06
0.0,0.0,4.5534787e-24,2.1995848e-10,0.0,3.2752241e-06
0.0,0.0,1.3428724e-24,6.248154e-11,0.0,1.2366904e-06
0.0,0.0,5.4271417e-25,2.193963e-11,0.0,0.0077015855
0.0,0.0,1.2526628e-25,8.33903e-12,0.0,0.01685545
0.0,0.0,1.1077018e-25,2.9929828e-12,0.0,0.02444226
0.0,0.0,4.746224e-26,8.2453364e-13,0.0,0.13306473
0.0,0.0,3.6715873e-26,3.119468e-13,0.0,0.061370116
0.0,0.0,1.9789758e-26,3.9138115e-12,0.0,0.010768103
0.0,0.0,1.7499642e-26,1.5496031e-12,0.0,0.017566882
0.0,0.0,1.7499637000000002e-26,4.945627e-13,0.0,0.012915488
0.0,0.0,8.263419e-27,1.602179e-13,0.0,0.01956349
0.0,0.0,6.634667e-27,4.4574343e-14,0.0,0.014112131
0.0,0.0,5.4024492e-27,5.657615e-15,0.0,0.023400228
0.0,0.0,2.4090344e-27,1.2736002e-15,0.0,0.011254307
0.0,0.0,1.400644e-27,5.278257e-16,0.0,0.009953256
0.0,0.0,4.339768000000001e-28,5.827549e-17,0.0,0.008440915
0.0,0.0,3.794917e-30,1.2823934e-17,0.0,0.025187572
0.0,0.0,3.5126278e-29,1.4278160000000001e-18,0.0,0.017685598
0.0,0.0,3.5331868e-29,2.1734165e-19,0.0,0.0053155613
0.0,0.0,2.6956945e-28,6.8272896e-20,0.0,0.0051544495
0.0,0.0,1.03570265e-26,1.8455808e-20,0.0,0.00826847
0.0,0.0,8.859772e-25,6.518281e-21,0.0,0.025670625
0.0,0.0,6.1549569999999996e-24,4.5421513e-21,0.0,0.0035098032
0.0,0.0,1.5694913e-23,1.4127181000000001e-21,0.0,0.023463072
0.0,0.0,6.6063397e-24,4.1423972e-22,0.0,0.0046123457
0.0,0.0,3.2506648e-23,8.693988e-22,0.0,0.009862135
0.0,0.0,2.8066712e-22,8.994547e-22,0.0,0.008191957
0.0,0.0,1.048029e-21,1.0672696000000001e-21,0.0,0.004660388
0.0,0.0,4.7771205e-19,2.7074562e-22,0.0,0.008816182
0.0,0.0,1.4289236e-17,7.3736646e-23,0.0,0.02303791
0.0,0.0,6.409109e-18,1.260448e-22,0.0,0.003314942
0.0,0.0,5.7774125e-17,1.6676814000000002e-22,0.0,0.0030359884
0.0,0.0,4.2788845e-17,8.389446e-23,0.0,0.0045436956
0.0,0.0,2.5399158000000002e-17,2.2399218e-23,0.0,0.008386019
0.0,0.0,8.462725e-18,5.8253583000000005e-24,0.0,0.014131324
0.0,0.0,7.896054e-18,1.0128081000000001e-22,0.0,0.01249373
0.0,0.0,7.180512499999999e-18,1.277569e-21,0.0,0.019756323
0.0,0.0,5.7635956e-18,1.6600721e-21,0.0,0.004919579
0.0,0.0,4.129321e-18,1.618957e-21,0.0,0.017290909
0.0,0.0,1.3653332000000001e-17,1.4373051000000001e-21,0.0,0.012633902
0.0,0.0,2.7680633e-17,2.1110613e-21,0.0,0.0073905312
0.0,0.0,1.513134e-17,5.072505e-22,0.0,0.012372326
0.0,0.0,1.2524392e-17,1.2340286e-22,0.0,0.012996752
0.0,0.0,1.1071793e-17,2.3099778e-22,0.0,0.010151274
0.0,0.0,4.3422433e-18,1.4910889e-22,0.0,0.027017988
0.0,0.0,3.1996955e-18,2.829076e-22,0.0,0.0034348627
0.0,0.0,2.357779e-18,2.798514e-22,0.0,0.001988184
0.0,0.0,2.08432e-18,9.32996e-23,0.0,0.0015018051
0.0,0.0,1.8425773e-18,2.2816833e-23,0.0,0.0007681608
0.0,0.0,1.8420363e-18,3.035712e-23,0.0,0.00020740657
0.0,0.0,1.6283939e-18,2.2158527e-23,0.0,6.359396e-05
0.0,0.0,5.4735523e-19,4.578724e-24,0.0,0.0005964851
0.0,0.0,5.4719455e-19,9.656722e-25,0.0,0.018375032
0.0,0.0,5.470339e-19,4.6588990000000003e-23,0.0,0.007125623
0.0,0.0,4.3908257e-19,9.1546046e-23,0.0,0.010379196
0.0,0.0,1.9720482e-19,2.0365997e-23,0.0,0.01525736
0.0,0.0,6.000305e-20,5.568162e-24,0.0,0.014415641
0.0,0.0,4.421481e-20,1.1031329e-23,0.0,0.0100193145
0.0,0.0,3.5489489999999995e-20,1.3421706e-23,0.0,0.018895451
0.0,0.0,3.1373358e-20,3.2784168e-24,0.0,0.003972555
0.0,0.0,6.630612300000001e-21,7.6734433e-25,0.0,0.00047937222
0.0,0.0,3.0126299999999995e-20,1.62682e-25,0.0,0.00018537388
0.0,0.0,2.5150565e-20,3.4177867e-26,0.0,4.5064517e-05
0.0,0.0,2.5142938e-20,2.2887590000000006e-23,0.0,1.2142145e-05
0.0,0.0,1.1207021e-20,9.803137e-24,0.0,0.009254427
0.0,0.0,1.2784651e-20,2.6508022000000003e-24,0.0,0.012166797
0.0,0.0,3.346047e-20,7.427991e-25,0.0,0.022823496
0.0,0.0,1.7827476e-20,1.7108353999999998e-25,0.0,0.004088485
0.0,0.0,7.743338e-20,3.9799074e-26,0.0,0.0037131184
0.0,0.0,3.6329023e-20,9.805969e-27,0.0,0.004452056
0.0,0.0,3.6317048e-20,2.3165719e-27,0.0,0.0059048403
0.0,0.0,8.945305e-21,1.0013083e-27,0.0,0.010584462
0.0,0.0,1.806458e-20,1.2640391e-28,0.0,0.014146738
0.0,0.0,1.2860437999999998e-19,3.032413e-23,0.0,0.009326403
0.0,0.0,1.3497586e-19,8.4200765e-24,0.0,0.010328522
0.0,0.0,1.1931011e-19,2.1556936e-24,0.0,0.013856551
0.0,0.0,5.631714999999999e-20,4.9682864e-25,0.0,0.009895318
0.0,0.0,2.658301e-20,1.177593e-25,0.0,0.017624669
0.0,0.0,2.3497696999999998e-20,1.3469595e-23,0.0,0.007850531
0.0,0.0,1.4908872e-20,3.9649814e-24,0.0,0.013596171
0.0,0.0,1.3178499e-20,1.020771e-24,0.0,0.015645152
0.0,0.0,1.05768855e-20,4.821558e-24,0.0,0.010714
0.0,0.0,2.9468388e-21,5.480797e-24,0.0,0.01617183
0.0,0.0,1.6431253e-21,1.3764244e-24,0.0,0.011276069
0.0,0.0,1.623148e-21,6.938188000000001e-23,0.0,0.019580368
0.0,0.0,5.680768e-20,3.2925303e-23,0.0,0.008108157
0.0,0.0,3.1674982e-20,9.968304e-24,0.0,0.021942541
0.0,0.0,1.0645884999999999e-20,1.2271792e-21,0.0,0.005109975
0.0,0.0,8.544145e-21,2.1822331e-21,0.0,0.0035742559
0.0,0.0,5.0711107e-21,6.898101e-22,0.0,0.0043644807
0.0,0.0,2.5226387000000006e-21,1.5826371e-22,0.0,0.007260372
0.0,0.0,1.4972336e-21,3.5002746e-23,0.0,0.005392396
0.0,0.0,1.103161e-21,2.9364826000000004e-22,0.0,0.0055320193
0.0,0.0,8.128084500000001e-22,2.0221977e-21,0.0,0.0040540127
0.0,0.0,7.1846290000000005e-22,1.692874e-21,0.0,0.0055064955
0.0,0.0,7.1817735000000015e-22,3.807175800000001e-22,0.0,0.011046349
0.0,0.0,7.178919e-22,8.5683806e-23,0.0,0.011316604
0.0,0.0,6.3456365e-22,1.9835863e-23,0.0,0.012974168
0.0,0.0,4.026147400000001e-22,1.8146817e-23,0.0,0.018761821
0.0,0.0,1.935646e-22,2.3710224e-24,0.0,0.0072865416
0.0,0.0,8.431485000000001e-23,7.7126055e-24,0.0,0.008475668
0.0,0.0,1.8118543000000002e-21,3.79865e-24,0.0,0.018468352
0.0,0.0,3.4947763e-21,1.0494741e-24,0.0,0.00073434843
0.0,0.0,1.5707076000000001e-21,2.3206745e-25,0.0,0.0017085124
0.0,0.0,1.2606005000000001e-21,5.2098224e-24,0.0,0.008295775
0.0,0.0,2.9011747000000003e-22,4.849947e-24,0.0,0.028442983
0.0,0.0,6.520014000000001e-23,1.3756076e-24,0.0,0.003605594
0.0,0.0,3.3060410000000002e-22,3.2940955e-25,0.0,0.004914
0.0,0.0,6.913816e-23,3.736571e-24,0.0,0.011667545
0.0,0.0,1.6800685e-23,1.4608869e-24,0.0,0.014223423
0.0,0.0,7.281278e-24,3.3731280000000003e-25,0.0,0.0145464325
0.0,0.0,1.3598893999999998e-23,7.329386e-26,0.0,0.008042367
0.0,0.0,6.880944e-24,2.0818449e-17,0.0,0.01550628
0.0,0.0,5.5201867e-24,5.5691626e-18,0.0,0.0065841037
0.0,0.0,3.996655e-23,1.1791345499999998e-17,0.0,0.014376699
0.0,0.0,1.8549256e-23,2.0572874e-17,0.0,0.013504036
0.0,0.0,5.5577605e-23,5.691434399999999e-18,0.0,0.008509326
0.0,0.0,2.3501003e-23,1.524356e-18,0.0,0.02900441
0.0,0.0,2.229806e-22,4.1047817e-19,0.0,0.0037448101
0.0,0.0,5.830347e-21,9.053149e-20,0.0,0.004668649
0.0,0.0,3.2701422e-21,1.485467e-20,0.0,0.011675454
0.0,0.0,6.059719999999999e-20,3.9001315e-21,0.0,0.018511996
0.0,0.0,2.090915e-20,2.2927086e-21,0.0,0.0072890306
0.0,0.0,2.0898397e-20,1.446572e-21,0.0,0.004161467
0.0,0.0,1.8470489e-20,3.9132022e-22,0.0,0.0084912935
0.0,0.0,1.6324647e-20,8.532716000000001e-23,0.0,0.011758711
0.0,0.0,1.0003687e-20,2.2555092e-23,0.0,0.020938681
0.0,0.0,5.108100800000001e-21,6.686164e-24,0.0,0.0037262081
0.0,0.0,1.9221765e-21,3.778396e-24,0.0,0.009091134
0.0,0.0,1.921188e-21,4.5281692e-23,0.0,0.011373084
