pressure [meter] at 2,pressure [meter] at 3,pressure [meter] at 4,pressure [meter] at 5,pressure [meter] at 6,pressure [meter] at 7,pressure [meter] at 8,pressure [meter] at 9,pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 14,pressure [meter] at 15,pressure [meter] at 16,pressure [meter] at 17,pressure [meter] at 18,pressure [meter] at 19,pressure [meter] at 20,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 24,pressure [meter] at 25,pressure [meter] at 26,pressure [meter] at 27,pressure [meter] at 28,pressure [meter] at 29,pressure [meter] at 30,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 1,flow [cubic meter/hr] at 1,flow [cubic meter/hr] at 2,flow [cubic meter/hr] at 3,flow [cubic meter/hr] at 4,flow [cubic meter/hr] at 5,flow [cubic meter/hr] at 6,flow [cubic meter/hr] at 7,flow [cubic meter/hr] at 8,flow [cubic meter/hr] at 9,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 13,flow [cubic meter/hr] at 14,flow [cubic meter/hr] at 15,flow [cubic meter/hr] at 16,flow [cubic meter/hr] at 17,flow [cubic meter/hr] at 18,flow [cubic meter/hr] at 19,flow [cubic meter/hr] at 20,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 23,flow [cubic meter/hr] at 24,flow [cubic meter/hr] at 25,flow [cubic meter/hr] at 26,flow [cubic meter/hr] at 27,flow [cubic meter/hr] at 28,flow [cubic meter/hr] at 29,flow [cubic meter/hr] at 30,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 32,flow [cubic meter/hr] at 33,flow [cubic meter/hr] at 34,bulk_species_node [MG] at Chlorine @ 2,bulk_species_node [MG] at Chlorine @ 3,bulk_species_node [MG] at Chlorine @ 4,bulk_species_node [MG] at Chlorine @ 5,bulk_species_node [MG] at Chlorine @ 6,bulk_species_node [MG] at Chlorine @ 7,bulk_species_node [MG] at Chlorine @ 8,bulk_species_node [MG] at Chlorine @ 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 14,bulk_species_node [MG] at Chlorine @ 15,bulk_species_node [MG] at Chlorine @ 16,bulk_species_node [MG] at Chlorine @ 17,bulk_species_node [MG] at Chlorine @ 18,bulk_species_node [MG] at Chlorine @ 19,bulk_species_node [MG] at Chlorine @ 20,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 24,bulk_species_node [MG] at Chlorine @ 25,bulk_species_node [MG] at Chlorine @ 26,bulk_species_node [MG] at Chlorine @ 27,bulk_species_node [MG] at Chlorine @ 28,bulk_species_node [MG] at Chlorine @ 29,bulk_species_node [MG] at Chlorine @ 30,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at Chlorine @ 1,bulk_species_node [MG] at AsIII @ 2,bulk_species_node [MG] at AsIII @ 3,bulk_species_node [MG] at AsIII @ 4,bulk_species_node [MG] at AsIII @ 5,bulk_species_node [MG] at AsIII @ 6,bulk_species_node [MG] at AsIII @ 7,bulk_species_node [MG] at AsIII @ 8,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 14,bulk_species_node [MG] at AsIII @ 15,bulk_species_node [MG] at AsIII @ 16,bulk_species_node [MG] at AsIII @ 17,bulk_species_node [MG] at AsIII @ 18,bulk_species_node [MG] at AsIII @ 19,bulk_species_node [MG] at AsIII @ 20,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 24,bulk_species_node [MG] at AsIII @ 25,bulk_species_node [MG] at AsIII @ 26,bulk_species_node [MG] at AsIII @ 27,bulk_species_node [MG] at AsIII @ 28,bulk_species_node [MG] at AsIII @ 29,bulk_species_node [MG] at AsIII @ 30,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 1
68.79055,58.596428,56.83972,54.937996,52.174393,51.653168,50.811306,50.35536,50.03374,49.360626,48.894665,46.68308,48.11862,48.002884,48.11937,52.26534,54.609386,57.125713,55.364487,51.789726,49.58735,53.42922,51.182014,49.893612,48.451077,48.04618,50.229607,47.364445,47.286564,47.51462,48.008408,0.0,12141.767,11634.58,4714.1064,4638.456,4180.6304,3479.9148,2548.444,2307.7922,2025.4148,1285.0704,972.8322,597.34283,432.9586,132.63156,-59.385056,303.30002,-774.85815,-1539.49,-1569.4137,4793.7295,855.8837,286.3844,3207.8425,2081.2004,1559.6022,-694.832,-163.19354,44.349586,445.90125,281.38885,32.337276,-182.24611,244.33603,768.05554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.79055,58.596428,56.839718,54.937996,52.17439,51.653168,50.811306,50.35536,50.03374,49.360626,48.894665,46.68308,48.118618,48.002884,48.119366,52.265335,54.609383,57.125713,55.364487,51.789726,49.587345,53.429214,51.18201,49.89361,48.451077,48.04618,50.229607,47.364445,47.28656,47.51462,48.008408,0.0,12141.767,11634.58,4714.1064,4638.456,4180.6304,3479.9148,2548.4443,2307.7922,2025.4149,1285.0704,972.8323,597.34283,432.95862,132.63158,-59.385056,303.30005,-774.85815,-1539.4901,-1569.4138,4793.7295,855.8837,286.38443,3207.8425,2081.2004,1559.6023,-694.83203,-163.19356,44.349586,445.90128,281.38885,32.337276,-182.24612,244.33606,768.05554,0.494115,0.4931121,0.49297145,0.2625924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48868215,0.49301583,0.21082042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4941562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.01437,60.690823,59.343124,57.882812,55.758667,55.358494,54.67895,54.31204,54.05201,53.54623,53.184383,51.629925,52.39593,52.24969,52.2781,55.170498,57.05998,59.351414,57.986534,54.721375,52.818367,56.456665,54.628933,53.629925,52.598415,52.22697,53.893738,51.626568,51.538246,51.708214,52.080017,0.0,10871.61,10428.267,4085.512,4021.9775,3626.8467,3017.1304,2270.108,2052.3433,1805.787,1101.2964,848.663,493.79105,400.2827,150.48972,-27.718964,249.71266,-689.7144,-1463.601,-1492.1304,4353.8677,815.026,264.66003,2825.4678,1861.5033,1359.4335,-579.74066,-155.76962,36.541332,395.55594,247.97755,34.609764,-155.49428,209.6288,690.98444,0.49411497,0.49370593,0.4920279,0.49182424,0.4891933,0.4501534,0.011508996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878758,0.4918368,0.49345857,0.49173868,0.47508925,0.2608985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49415618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.01437,60.690823,59.343124,57.88281,55.758667,55.358494,54.67895,54.31204,54.05201,53.546227,53.184383,51.62992,52.39593,52.249687,52.278095,55.170494,57.059975,59.351414,57.986534,54.721375,52.818367,56.456665,54.62893,53.62992,52.59841,52.226967,53.893738,51.626564,51.538242,51.70821,52.080013,0.0,10871.61,10428.268,4085.5122,4021.9775,3626.847,3017.1304,2270.108,2052.3433,1805.7871,1101.2964,848.6631,493.79108,400.28275,150.48973,-27.718964,249.71269,-689.7144,-1463.6011,-1492.1304,4353.868,815.026,264.66003,2825.468,1861.5034,1359.4336,-579.74066,-155.76962,36.541336,395.55597,247.97758,34.609764,-155.4943,209.62883,690.98444,0.5518383,0.55120355,0.550218,0.4978546,0.48866335,0.48866335,0.4868034,0.24534424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48879254,0.5485719,0.5507233,0.4937793,0.48880038,0.48858395,0.4871707,0.24622911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55188966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.21769,62.622005,61.508698,60.302082,58.53372,58.209377,57.660362,57.37009,57.16551,56.75595,56.452736,55.03097,55.807903,55.706062,55.768097,58.356953,59.838284,61.59338,60.589314,58.190674,56.850227,59.315025,57.823032,57.022255,56.13233,55.751377,57.293747,55.50111,55.442497,55.576942,55.865993,0.0,9596.619,9197.085,3685.0417,3628.185,3285.049,2693.5557,2023.1547,1808.4357,1586.4589,982.6946,771.40594,470.56363,359.55414,123.780945,-42.259495,235.20226,-604.78503,-1267.3352,-1293.892,3731.9048,690.0015,219.034,2559.9114,1668.2788,1206.399,-535.318,-157.91023,19.983877,347.96313,218.44434,27.736153,-137.00418,182.98389,589.87427,0.5518383,0.55120325,0.5502956,0.54874206,0.5437226,0.5143617,0.48619032,0.4856374,0.43080205,0.0023789154,5.9441612e-05,9.490673e-06,0.06451268,7.9528814e-05,0.0037874246,0.5424417,0.5489993,0.55072254,0.5488237,0.53704995,0.4964735,0.4857523,0.48476,0.36472443,0.0,2.1016901e-06,0.4841412,0.0,0.0,0.0,0.0,0.55188966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.21769,62.622,61.508698,60.302082,58.53372,58.209373,57.66036,57.37009,57.16551,56.75595,56.452732,55.03097,55.807903,55.706062,55.768097,58.356953,59.838284,61.593376,60.589314,58.190674,56.850227,59.315025,57.823032,57.022255,56.132328,55.751377,57.293743,55.50111,55.442493,55.57694,55.86599,0.0,9596.619,9197.085,3685.042,3628.1853,3285.0493,2693.556,2023.1548,1808.4358,1586.459,982.69464,771.406,470.56366,359.55417,123.78096,-42.259495,235.20227,-604.7851,-1267.3352,-1293.8921,3731.905,690.0016,219.03401,2559.9116,1668.2789,1206.3992,-535.318,-157.91025,19.983883,347.96317,218.44437,27.736153,-137.0042,182.98393,589.8743,0.62514687,0.6241595,0.62196165,0.5471988,0.5453367,0.5452417,0.54078853,0.48477247,0.4828026,0.45652008,5.9071263e-05,1.9473366e-05,0.48021176,0.044747442,0.48033,0.54548776,0.609455,0.62369967,0.547377,0.54540426,0.54375315,0.5423748,0.48424602,0.48147354,0.475541,0.35549304,0.48272586,0.0,0.0,0.0,0.47517887,0.62521285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.370186,64.05089,63.155132,62.184563,60.756428,60.48668,60.045734,59.8041,59.630424,59.275723,59.012493,57.804375,58.58546,58.51661,58.586266,60.58216,61.767136,63.208496,62.38297,60.411407,59.23805,61.351112,60.16079,59.525333,58.861156,58.5845,59.696014,58.164303,58.110806,58.27214,58.573082,0.0,8536.331,8188.709,3276.8467,3225.8218,2927.0679,2438.4126,1797.3124,1637.9526,1452.1781,909.2799,714.6952,430.9567,312.167,100.19606,-44.988644,204.3819,-536.1126,-1139.4889,-1161.6088,3353.8994,620.68304,203.84145,2284.2234,1476.7194,1064.7937,-457.08725,-132.85966,5.9348044,312.36588,200.65654,26.402077,-151.17929,187.0101,531.17566,0.6251468,0.6241586,0.62283653,0.6212379,0.5901388,0.5496506,0.5420535,0.5404494,0.48559755,0.4798252,0.25918004,2.0806794e-05,0.47983578,0.3623837,0.47971308,0.5707821,0.62156916,0.6236982,0.62019783,0.55152524,0.54356265,0.54200613,0.5403812,0.48142925,0.47975644,0.4249966,0.531979,0.45746136,0.27555117,0.42236596,0.47975644,0.6252128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.370186,64.05088,63.155132,62.184563,60.756428,60.486675,60.045734,59.8041,59.630424,59.275723,59.01249,57.804375,58.585457,58.516605,58.586266,60.58216,61.767136,63.208492,62.382965,60.411407,59.238045,61.351112,60.160786,59.52533,58.861156,58.5845,59.69601,58.164303,58.1108,58.27214,58.57308,0.0,8536.332,8188.7095,3276.847,3225.822,2927.068,2438.4128,1797.3125,1637.9529,1452.1782,909.27997,714.6952,430.95673,312.16705,100.19608,-44.988644,204.38193,-536.1126,-1139.489,-1161.6089,3353.8997,620.6831,203.84148,2284.2234,1476.7195,1064.7938,-457.08728,-132.85968,5.9348087,312.3659,200.65656,26.402077,-151.17932,187.01015,531.1757,0.7027864,0.70168924,0.69631004,0.6195838,0.6174575,0.61631,0.5755835,0.5401466,0.5372142,0.48571262,0.47501263,2.0677158e-05,0.51309115,0.47619978,0.51793486,0.6175564,0.66551286,0.7005219,0.619683,0.6162082,0.6157921,0.56272477,0.5402486,0.53699774,0.49013904,0.45775574,0.5386292,0.4767648,0.40473166,0.47646302,0.4936732,0.7028698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.44649,64.80215,64.00721,63.144466,61.891365,61.660553,61.2889,61.09128,60.95399,60.669373,60.45963,59.412914,60.11224,60.038155,60.071888,61.69264,62.790806,64.05924,63.361313,61.472202,60.292645,62.514,61.482956,60.92235,60.30912,60.06552,61.022984,59.77612,59.743275,59.872654,60.11744,0.0,7961.374,7610.19,3072.2468,3027.0884,2727.5447,2241.5588,1638.8427,1469.4054,1279.0579,807.38385,632.2005,398.8455,277.7635,104.242355,-30.4138,182.64973,-514.5359,-1063.506,-1085.3988,3099.0615,606.5299,204.42206,2053.672,1366.5076,995.1206,-437.80905,-124.037796,11.865901,295.24432,179.55786,20.287329,-134.19432,167.27538,485.08667,0.7027864,0.70168924,0.69953835,0.6971653,0.6252674,0.6157552,0.61385906,0.5932054,0.53683245,0.53370285,0.47378454,2.0548328e-05,0.53510696,0.4797483,0.53441435,0.616579,0.69891036,0.70051813,0.69705284,0.61599255,0.61569613,0.6134006,0.5977628,0.5358612,0.53361446,0.51079774,0.5394013,0.4755732,0.40463817,0.47644863,0.53361446,0.7028698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.44649,64.80215,64.00721,63.144463,61.891365,61.660553,61.288895,61.09128,60.95399,60.66937,60.459625,59.412914,60.11224,60.03815,60.071884,61.69264,62.790806,64.05924,63.36131,61.472202,60.292645,62.514,61.482952,60.922348,60.30912,60.065517,61.02298,59.776115,59.74327,59.872654,60.11744,0.0,7961.3745,7610.1904,3072.247,3027.0886,2727.545,2241.559,1638.8428,1469.4056,1279.058,807.3839,632.20056,398.8455,277.76352,104.24237,-30.4138,182.64975,-514.5359,-1063.506,-1085.3989,3099.0618,606.52997,204.42207,2053.672,1366.5077,995.1207,-437.80908,-124.03781,11.865906,295.24435,179.55789,20.287329,-134.19434,167.2754,485.08673,0.753534,0.7523577,0.74629384,0.69666517,0.69357497,0.6924075,0.6137939,0.6098935,0.5895094,0.53329515,0.51208365,2.0420302e-05,0.5341042,0.5238812,0.5338127,0.6928145,0.7173068,0.7510115,0.6963905,0.69259113,0.6867197,0.6121546,0.6099014,0.5684986,0.5336295,0.48582223,0.60834175,0.5302945,0.45977753,0.53028977,0.5336295,0.7536299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
