pressure [meter] at 2,pressure [meter] at 3,pressure [meter] at 4,pressure [meter] at 5,pressure [meter] at 6,pressure [meter] at 7,pressure [meter] at 8,pressure [meter] at 9,pressure [meter] at 10,pressure [meter] at 11,pressure [meter] at 12,pressure [meter] at 13,pressure [meter] at 14,pressure [meter] at 15,pressure [meter] at 16,pressure [meter] at 17,pressure [meter] at 18,pressure [meter] at 19,pressure [meter] at 20,pressure [meter] at 21,pressure [meter] at 22,pressure [meter] at 23,pressure [meter] at 24,pressure [meter] at 25,pressure [meter] at 26,pressure [meter] at 27,pressure [meter] at 28,pressure [meter] at 29,pressure [meter] at 30,pressure [meter] at 31,pressure [meter] at 32,pressure [meter] at 1,flow [cubic meter/hr] at 1,flow [cubic meter/hr] at 2,flow [cubic meter/hr] at 3,flow [cubic meter/hr] at 4,flow [cubic meter/hr] at 5,flow [cubic meter/hr] at 6,flow [cubic meter/hr] at 7,flow [cubic meter/hr] at 8,flow [cubic meter/hr] at 9,flow [cubic meter/hr] at 10,flow [cubic meter/hr] at 11,flow [cubic meter/hr] at 12,flow [cubic meter/hr] at 13,flow [cubic meter/hr] at 14,flow [cubic meter/hr] at 15,flow [cubic meter/hr] at 16,flow [cubic meter/hr] at 17,flow [cubic meter/hr] at 18,flow [cubic meter/hr] at 19,flow [cubic meter/hr] at 20,flow [cubic meter/hr] at 21,flow [cubic meter/hr] at 22,flow [cubic meter/hr] at 23,flow [cubic meter/hr] at 24,flow [cubic meter/hr] at 25,flow [cubic meter/hr] at 26,flow [cubic meter/hr] at 27,flow [cubic meter/hr] at 28,flow [cubic meter/hr] at 29,flow [cubic meter/hr] at 30,flow [cubic meter/hr] at 31,flow [cubic meter/hr] at 32,flow [cubic meter/hr] at 33,flow [cubic meter/hr] at 34,bulk_species_node [MG] at Chlorine @ 2,bulk_species_node [MG] at Chlorine @ 3,bulk_species_node [MG] at Chlorine @ 4,bulk_species_node [MG] at Chlorine @ 5,bulk_species_node [MG] at Chlorine @ 6,bulk_species_node [MG] at Chlorine @ 7,bulk_species_node [MG] at Chlorine @ 8,bulk_species_node [MG] at Chlorine @ 9,bulk_species_node [MG] at Chlorine @ 10,bulk_species_node [MG] at Chlorine @ 11,bulk_species_node [MG] at Chlorine @ 12,bulk_species_node [MG] at Chlorine @ 13,bulk_species_node [MG] at Chlorine @ 14,bulk_species_node [MG] at Chlorine @ 15,bulk_species_node [MG] at Chlorine @ 16,bulk_species_node [MG] at Chlorine @ 17,bulk_species_node [MG] at Chlorine @ 18,bulk_species_node [MG] at Chlorine @ 19,bulk_species_node [MG] at Chlorine @ 20,bulk_species_node [MG] at Chlorine @ 21,bulk_species_node [MG] at Chlorine @ 22,bulk_species_node [MG] at Chlorine @ 23,bulk_species_node [MG] at Chlorine @ 24,bulk_species_node [MG] at Chlorine @ 25,bulk_species_node [MG] at Chlorine @ 26,bulk_species_node [MG] at Chlorine @ 27,bulk_species_node [MG] at Chlorine @ 28,bulk_species_node [MG] at Chlorine @ 29,bulk_species_node [MG] at Chlorine @ 30,bulk_species_node [MG] at Chlorine @ 31,bulk_species_node [MG] at Chlorine @ 32,bulk_species_node [MG] at Chlorine @ 1,bulk_species_node [MG] at AsIII @ 2,bulk_species_node [MG] at AsIII @ 3,bulk_species_node [MG] at AsIII @ 4,bulk_species_node [MG] at AsIII @ 5,bulk_species_node [MG] at AsIII @ 6,bulk_species_node [MG] at AsIII @ 7,bulk_species_node [MG] at AsIII @ 8,bulk_species_node [MG] at AsIII @ 9,bulk_species_node [MG] at AsIII @ 10,bulk_species_node [MG] at AsIII @ 11,bulk_species_node [MG] at AsIII @ 12,bulk_species_node [MG] at AsIII @ 13,bulk_species_node [MG] at AsIII @ 14,bulk_species_node [MG] at AsIII @ 15,bulk_species_node [MG] at AsIII @ 16,bulk_species_node [MG] at AsIII @ 17,bulk_species_node [MG] at AsIII @ 18,bulk_species_node [MG] at AsIII @ 19,bulk_species_node [MG] at AsIII @ 20,bulk_species_node [MG] at AsIII @ 21,bulk_species_node [MG] at AsIII @ 22,bulk_species_node [MG] at AsIII @ 23,bulk_species_node [MG] at AsIII @ 24,bulk_species_node [MG] at AsIII @ 25,bulk_species_node [MG] at AsIII @ 26,bulk_species_node [MG] at AsIII @ 27,bulk_species_node [MG] at AsIII @ 28,bulk_species_node [MG] at AsIII @ 29,bulk_species_node [MG] at AsIII @ 30,bulk_species_node [MG] at AsIII @ 31,bulk_species_node [MG] at AsIII @ 32,bulk_species_node [MG] at AsIII @ 1
68.91544,59.062214,57.02523,54.80633,52.91865,52.39829,52.020382,51.51461,51.156082,50.499413,49.865166,48.588104,49.164608,49.005165,48.999645,51.3489,54.70311,58.051826,56.0291,53.279404,50.75501,53.10126,51.316273,49.76152,48.347893,48.19803,48.45631,46.87274,46.640484,46.921734,47.64068,0.0,11677.977,11241.818,4749.983,4662.5537,4195.8374,3542.334,2601.7422,2302.15,1987.5458,1223.1337,898.0643,565.2211,473.33224,173.91693,10.105007,295.388,-882.35175,-1562.7012,-1597.5889,4364.325,727.5582,282.00345,3018.4055,1989.2662,1562.8789,-683.5319,-98.76993,120.584076,424.72552,274.79788,52.423817,-195.05453,257.6345,772.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68.91544,59.062214,57.02523,54.80633,52.91865,52.398285,52.020382,51.51461,51.156082,50.499413,49.865166,48.588104,49.164608,49.005165,48.999645,51.3489,54.703106,58.051823,56.0291,53.279404,50.755005,53.101257,51.316273,49.761517,48.347893,48.198025,48.45631,46.87274,46.640484,46.92173,47.640675,0.0,11677.977,11241.818,4749.9834,4662.5537,4195.8374,3542.334,2601.7422,2302.15,1987.5458,1223.1337,898.06433,565.2211,473.33228,173.91693,10.105005,295.388,-882.3518,-1562.7013,-1597.589,4364.325,727.5583,282.00345,3018.4058,1989.2664,1562.8789,-683.532,-98.76994,120.584076,424.72556,274.79788,52.423817,-195.05455,257.63455,772.76886,0.513737,0.5126825,0.51253825,0.2691825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5069706,0.5125854,0.03736164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.12119,61.12528,59.562668,57.858673,56.407642,56.008045,55.703083,55.29651,55.00681,54.516342,54.025715,53.128105,53.277718,53.09075,53.02814,54.55251,57.23179,60.222435,58.602985,56.102364,53.92111,56.293976,54.8491,53.640316,52.630314,52.46624,52.59064,51.345627,51.126392,51.34071,51.890945,0.0,10424.101,10042.845,4116.4565,4043.029,3640.2253,3071.5898,2317.2524,2046.1528,1771.458,1044.8202,781.8051,467.2378,438.56732,189.53262,37.500443,233.86592,-781.5504,-1470.1344,-1503.3966,3950.6653,691.19696,260.6114,2655.193,1774.6936,1364.2699,-570.05707,-103.721016,99.53398,375.82297,241.32803,50.815437,-168.43097,222.99275,696.45764,0.513737,0.5133049,0.51157135,0.5113432,0.5084462,0.4679137,0.014588638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50952464,0.5113603,0.51302826,0.51124537,0.39299962,0.016378207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51378155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.12119,61.12528,59.562664,57.858673,56.40764,56.008045,55.703083,55.29651,55.00681,54.51634,54.025715,53.1281,53.277714,53.090748,53.02814,54.55251,57.23179,60.222435,58.60298,56.10236,53.92111,56.293976,54.849094,53.640316,52.630314,52.46624,52.590637,51.345627,51.126392,51.340706,51.890945,0.0,10424.102,10042.846,4116.4565,4043.0293,3640.2256,3071.5898,2317.2524,2046.153,1771.4581,1044.8203,781.8052,467.2378,438.56735,189.53264,37.500443,233.86595,-781.5505,-1470.1345,-1503.3966,3950.6655,691.19696,260.61142,2655.1934,1774.6937,1364.27,-570.05707,-103.72102,99.53399,375.82303,241.32805,50.815437,-168.43098,222.99278,696.4577,0.57552654,0.5747946,0.5737965,0.51792157,0.5080666,0.5080666,0.5060882,0.27130792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082001,0.5717953,0.5743255,0.5099042,0.5080601,0.5066448,0.50506324,0.02315335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57558244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.30052,62.944904,61.653915,60.245747,59.037415,58.7127,58.465454,58.144215,57.91679,57.519943,57.107418,56.286434,56.517017,56.386303,56.37543,57.827133,59.941856,62.24698,61.047127,59.216038,57.6796,59.138577,57.969154,57.007786,56.1527,55.982117,56.230698,55.25314,55.102436,55.272144,55.70066,0.0,9215.498,8871.917,3713.175,3647.4658,3297.6663,2746.026,2069.0603,1801.7523,1554.442,931.9049,711.93353,445.2594,391.28174,156.22429,14.572995,227.77888,-687.81067,-1277.3303,-1308.2927,3388.1157,584.1506,215.68333,2395.686,1583.1533,1205.5834,-521.04224,-105.92229,82.095436,329.82144,211.78502,41.504818,-148.4897,194.8323,595.0527,0.5755265,0.57479405,0.5739175,0.57227814,0.56684285,0.53611475,0.5056706,0.5049448,0.44596326,0.0003425798,8.347182e-05,5.136446e-06,0.096516415,9.138601e-05,0.0048925574,0.56958055,0.5725557,0.5743245,0.5716084,0.5231712,0.50645137,0.5048946,0.50333303,0.11642596,0.0,3.9208313e-05,0.5000855,0.0,0.0,0.0,0.0,0.5755824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.300514,62.9449,61.653915,60.245747,59.037415,58.712696,58.465454,58.14421,57.91679,57.519943,57.107418,56.286434,56.517014,56.386303,56.375427,57.82713,59.941856,62.246975,61.047127,59.216038,57.6796,59.138577,57.96915,57.007786,56.1527,55.982117,56.230694,55.253136,55.102432,55.27214,55.70066,0.0,9215.499,8871.917,3713.1753,3647.466,3297.6665,2746.0261,2069.0603,1801.7524,1554.4421,931.90497,711.9336,445.25943,391.2818,156.22432,14.572997,227.77892,-687.81067,-1277.3304,-1308.2928,3388.116,584.15063,215.68335,2395.686,1583.1534,1205.5835,-521.04224,-105.9223,82.09544,329.82147,211.78505,41.504818,-148.48972,194.83234,595.05273,0.6509979,0.6499816,0.6475333,0.57067674,0.5687361,0.5686454,0.5648319,0.50429416,0.5019729,0.46082866,8.295175e-05,2.3568959e-05,0.49978167,0.21794473,0.46982434,0.56888396,0.63448846,0.64946526,0.5705679,0.56855315,0.5667508,0.5488406,0.503038,0.5002528,0.46291173,0.044400536,0.5018307,0.0,9.071257e-05,0.000117322146,0.46576607,0.65106946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.43791,64.32303,63.287403,62.158188,61.185577,60.917244,60.720303,60.452995,60.259506,59.916115,59.558292,58.860676,59.15564,59.058804,59.054348,60.168518,61.863544,63.752827,62.76693,61.25455,59.90963,61.22296,60.293846,59.534367,58.911633,58.80443,58.802345,57.948055,57.798527,58.001312,58.449398,0.0,8189.136,7890.1963,3296.558,3237.5884,2933.033,2477.3018,1829.9238,1631.5338,1424.5574,861.87616,659.29517,407.78232,344.18976,132.86229,9.003301,197.4509,-610.3669,-1147.2354,-1173.0247,3043.7515,526.8443,200.72319,2136.5803,1398.2343,1061.5001,-439.05273,-82.42698,64.26602,298.72458,196.91873,41.329792,-163.47426,199.58786,538.11163,0.6509978,0.64998156,0.6483046,0.6465606,0.6147174,0.5734883,0.56534475,0.5637167,0.50539833,0.4988454,0.15305799,2.9412406e-05,0.4988454,0.49693394,0.4687457,0.62370336,0.64799446,0.64956087,0.6452704,0.56719536,0.56696725,0.5651232,0.5623404,0.5001726,0.49874142,0.46180925,0.51885414,0.2484798,0.15066889,0.37075424,0.49874142,0.6510694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.43791,64.32303,63.287403,62.158188,61.185577,60.917244,60.7203,60.45299,60.259506,59.916115,59.55829,58.860672,59.155636,59.058804,59.054344,60.168518,61.863544,63.752823,62.76693,61.25455,59.909626,61.222958,60.293842,59.534363,58.911633,58.804424,58.80234,57.948055,57.798527,58.00131,58.449398,0.0,8189.1367,7890.197,3296.5583,3237.5886,2933.0332,2477.302,1829.924,1631.5339,1424.5575,861.8762,659.29517,407.78232,344.1898,132.86232,9.003302,197.45091,-610.36694,-1147.2354,-1173.0248,3043.7517,526.84436,200.7232,2136.5803,1398.2344,1061.5002,-439.05276,-82.42699,64.26603,298.7246,196.91875,41.329792,-163.47429,199.5879,538.1117,0.7325788,0.7314352,0.7253026,0.6456378,0.6428248,0.6417094,0.60255927,0.56335336,0.5603322,0.5022495,0.4932258,2.9229152e-05,0.5391548,0.49568424,0.5177071,0.6429136,0.69217557,0.73017263,0.645853,0.64125,0.62637496,0.56366146,0.5616142,0.5549801,0.49705628,0.4825205,0.56063044,0.49403605,0.39446622,0.4943983,0.49705628,0.7326694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.50391,65.015076,64.09038,63.080093,62.220726,61.988724,61.820328,61.599792,61.44598,61.16954,60.88347,60.279053,60.54589,60.445763,60.42548,61.279644,62.84239,64.510445,63.66604,62.211384,60.85936,62.38676,61.572742,60.894905,60.30254,60.195793,60.233616,59.547096,59.449738,59.612926,59.97815,0.0,7655.1045,7353.1016,3100.9497,3048.7603,2743.3994,2290.158,1681.5398,1470.6041,1258.533,766.6319,584.2495,377.39783,308.27686,135.28249,20.405535,171.05748,-584.167,-1072.6262,-1098.1509,2817.902,515.8889,201.29492,1930.2701,1301.871,998.27576,-427.3603,-82.23568,61.402035,280.42245,174.99208,32.782036,-145.38118,178.72331,491.32483,0.73257875,0.73143506,0.7291712,0.72670484,0.6507455,0.6417205,0.63884944,0.6194935,0.5599181,0.5568971,0.4926966,2.9047038e-05,0.5575493,0.53759766,0.5337553,0.65404505,0.72850126,0.73016816,0.7256233,0.6405118,0.63894737,0.6372547,0.57832295,0.5582097,0.5566128,0.50290763,0.56014955,0.49326804,0.39420685,0.4938708,0.5566128,0.73266935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.50391,65.015076,64.09038,63.080093,62.220726,61.98872,61.820328,61.59979,61.44598,61.169537,60.88347,60.279053,60.545887,60.445763,60.425476,61.27964,62.84239,64.510445,63.666035,62.211384,60.859356,62.38676,61.572742,60.894905,60.302536,60.195793,60.233616,59.547092,59.449738,59.612926,59.978146,0.0,7655.1055,7353.1025,3100.95,3048.7605,2743.3997,2290.1582,1681.54,1470.6042,1258.5331,766.63196,584.2496,377.39786,308.2769,135.2825,20.405535,171.05751,-584.16705,-1072.6262,-1098.151,2817.9026,515.889,201.29494,1930.2704,1301.8712,998.2759,-427.36032,-82.23569,61.402042,280.4225,174.9921,32.782036,-145.3812,178.72336,491.3249,0.7836778,0.7824545,0.7758824,0.7262005,0.7229995,0.7217635,0.64002633,0.63514036,0.6144785,0.55557173,0.5152174,2.8866061e-05,0.5576392,0.55397654,0.49731633,0.72334003,0.7462977,0.7810059,0.72561884,0.7207263,0.657811,0.6369694,0.6348105,0.5591118,0.55482227,0.5417733,0.6306165,0.5406789,0.44405937,0.55000013,0.5548193,0.7837815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
